Step,Training Loss,Validation Loss,Accuracy
4,3.0038,3.003272,0.050319
8,3.0036,3.002958,0.050186
12,3.0098,3.001984,0.051248
16,3.0084,3.00039,0.051912
20,3.0111,2.9985,0.052841
24,3.003,2.996253,0.054302
28,3.0068,2.993807,0.055629
32,2.9908,2.991307,0.057223
36,2.9934,2.987859,0.058417
40,2.9891,2.984051,0.06094
44,2.9832,2.978249,0.068109
48,2.9818,2.967091,0.078598
52,2.959,2.937162,0.088024
56,2.921,2.86728,0.1641
60,2.8279,2.730079,0.323553
64,2.6485,2.523371,0.465613
68,2.5134,2.312771,0.53213
72,2.2674,2.089165,0.554036
76,2.0576,1.878917,0.589352
80,1.8512,1.69167,0.625199
84,1.6495,1.537682,0.651753
88,1.5017,1.414209,0.641928
92,1.5497,1.300309,0.668216
96,1.3311,1.20038,0.703266
100,1.1307,1.136076,0.701407
104,1.15,1.053623,0.716676
108,1.0056,1.011612,0.71787
112,0.9896,0.951648,0.737122
116,0.9674,0.920832,0.737785
120,0.8578,0.932965,0.738051
124,0.9034,0.869906,0.755045
128,0.8769,0.828667,0.754912
132,0.791,0.80851,0.766861
136,0.7328,0.81751,0.765534
140,0.6962,0.79048,0.778943
144,0.764,0.77868,0.77589
148,0.7168,0.757124,0.778678
152,0.7309,0.738514,0.788901
156,0.7174,0.731118,0.787175
160,0.6825,0.696634,0.799655
164,0.6549,0.692955,0.798194
168,0.5531,0.708589,0.792751
172,0.6007,0.71863,0.797265
176,0.5833,0.720287,0.792087
180,0.5774,0.682591,0.8047
184,0.5207,0.683824,0.808152
188,0.4665,0.680264,0.797132
192,0.4588,0.661832,0.806559
196,0.46,0.655438,0.806824
200,0.405,0.639675,0.810143
204,0.4897,0.686211,0.805231
208,0.4692,0.663512,0.808285
212,0.4234,0.670302,0.803107
216,0.4119,0.659615,0.809347
220,0.5088,0.638845,0.812533
224,0.3695,0.637884,0.808152
228,0.4364,0.598231,0.824615
232,0.3892,0.619791,0.820499
236,0.4173,0.600588,0.822358
240,0.4097,0.609679,0.8255440000000001
244,0.377,0.608844,0.815056
248,0.3964,0.591302,0.830855
252,0.3874,0.598764,0.831386
256,0.4153,0.600968,0.820101
260,0.3836,0.562861,0.838024
264,0.3867,0.591792,0.828864
268,0.3221,0.568013,0.83975
272,0.2053,0.582344,0.837759
276,0.2137,0.60932,0.830324
280,0.2673,0.619218,0.829527
284,0.2241,0.596463,0.838954
288,0.2673,0.636718,0.827403
292,0.2902,0.607199,0.839219
296,0.2515,0.62513,0.834971
300,0.2285,0.583886,0.841344
304,0.2257,0.604031,0.835767
308,0.2878,0.589495,0.840414
312,0.231,0.577994,0.847185
316,0.2467,0.619006,0.83829
320,0.2912,0.598233,0.838954
324,0.1911,0.602301,0.841344
328,0.2573,0.604626,0.845194
332,0.2393,0.618263,0.845194
336,0.2044,0.572738,0.844132
340,0.3013,0.583199,0.843999
344,0.1927,0.572726,0.841344
348,0.2363,0.565675,0.849442
352,0.2081,0.61076,0.842937
356,0.1545,0.593607,0.850372
360,0.1104,0.604474,0.845194
364,0.192,0.593843,0.849442
368,0.1351,0.615922,0.846123
372,0.1399,0.582738,0.854355
376,0.1048,0.582941,0.852762
380,0.1707,0.591124,0.854089
384,0.113,0.615515,0.85223
388,0.1147,0.597998,0.851832
392,0.1675,0.598248,0.846787
396,0.1678,0.579718,0.851699
400,0.1195,0.577093,0.857276
404,0.1271,0.59347,0.854089
408,0.1165,0.609064,0.848646
412,0.1708,0.61872,0.844663
416,0.1832,0.60642,0.850637
420,0.1645,0.575339,0.85701
424,0.1665,0.576808,0.849973
428,0.1466,0.565098,0.854355
432,0.1425,0.575401,0.85223
436,0.1187,0.565221,0.854753
440,0.1679,0.57948,0.849841
444,0.1049,0.590161,0.850372
448,0.0872,0.599692,0.850239
452,0.0611,0.616685,0.853293
456,0.105,0.613417,0.852363
460,0.0542,0.598852,0.851832
464,0.0439,0.613144,0.847584
468,0.1101,0.604945,0.85555
472,0.078,0.61874,0.854753
476,0.0746,0.622997,0.855815
480,0.0951,0.61866,0.856213
484,0.1112,0.611542,0.858736
488,0.145,0.652458,0.847982
492,0.1677,0.632202,0.851567
496,0.1269,0.658348,0.846787
500,0.1245,0.631257,0.848646
504,0.1161,0.579251,0.856479
508,0.0649,0.571549,0.860196
512,0.0766,0.574718,0.858471
516,0.0396,0.594412,0.856346
520,0.0882,0.606367,0.857807
524,0.1107,0.62508,0.852894
528,0.0825,0.602283,0.862586
532,0.0605,0.629883,0.856479
536,0.0633,0.63721,0.85223
540,0.0763,0.608918,0.862321
544,0.0585,0.596321,0.864711
548,0.0598,0.603156,0.862586
552,0.0707,0.601153,0.860728
556,0.056,0.609196,0.856346
560,0.0942,0.639958,0.851036
564,0.0761,0.613274,0.854886
568,0.0705,0.602471,0.86086
572,0.0621,0.627279,0.860462
576,0.0488,0.62155,0.862985
580,0.0693,0.619802,0.863648
584,0.0707,0.614067,0.863117
588,0.0613,0.61587,0.86179
592,0.0597,0.616508,0.856479
596,0.0841,0.614483,0.860196
600,0.0446,0.629288,0.859134
604,0.0398,0.644646,0.857143
608,0.0496,0.64282,0.859267
612,0.0462,0.639927,0.859798
616,0.0739,0.657299,0.862454
620,0.0632,0.645063,0.862454
624,0.0564,0.653696,0.856612
628,0.0246,0.650633,0.856346
632,0.0374,0.633306,0.860595
636,0.0264,0.63046,0.862985
640,0.0364,0.627593,0.862852
644,0.0294,0.632726,0.863516
648,0.0289,0.645118,0.863516
652,0.0421,0.646584,0.861126
656,0.0321,0.629571,0.86564
660,0.0519,0.64125,0.862055
664,0.0432,0.650533,0.859665
668,0.0368,0.645084,0.859665
672,0.0429,0.63381,0.861657
676,0.037,0.639047,0.86086
680,0.0357,0.658605,0.857408
684,0.0281,0.674587,0.856877
688,0.0521,0.659905,0.860196
692,0.0325,0.6494,0.861126
696,0.0251,0.641014,0.863648
700,0.0322,0.632675,0.866171
704,0.0309,0.636116,0.86564
708,0.032,0.640312,0.864047
712,0.0287,0.641534,0.862055
716,0.028,0.641939,0.863383
720,0.0339,0.644434,0.86418
724,0.0188,0.653989,0.862321
728,0.0244,0.654963,0.862454
732,0.012,0.652034,0.864976
736,0.0229,0.645612,0.866569
740,0.035,0.646037,0.866968
744,0.0252,0.639267,0.867499
748,0.0341,0.63848,0.866968
752,0.0187,0.64476,0.8671
756,0.0118,0.647526,0.867366
760,0.0333,0.650862,0.867233
764,0.0138,0.656466,0.865905
768,0.0137,0.655987,0.866038
772,0.0247,0.652391,0.866968
776,0.0139,0.650048,0.867897
780,0.0204,0.647889,0.86803
784,0.0304,0.648252,0.86803
788,0.0204,0.649579,0.866702
792,0.0124,0.651299,0.867499
796,0.0124,0.651507,0.868428
800,0.017,0.651739,0.867897
804,0.0138,0.651692,0.867897
808,0.009,0.652163,0.868959
812,0.0091,0.654274,0.868163
816,0.0212,0.655893,0.868428
820,0.0223,0.656048,0.867897
824,0.0203,0.656683,0.868561
828,0.0097,0.657242,0.869092
832,0.0118,0.657947,0.868561
836,0.0127,0.661205,0.867233
840,0.0101,0.663658,0.866569
844,0.021,0.665466,0.866038
848,0.0213,0.665748,0.866702
852,0.0143,0.666933,0.866702
856,0.0212,0.66652,0.866835
860,0.0134,0.665951,0.866569
864,0.0188,0.665389,0.866437
868,0.0192,0.664468,0.866702
872,0.0092,0.663778,0.866569
876,0.0106,0.663478,0.866569
880,0.0208,0.663335,0.866569
